athlete_name,country,status,dob
Andrade Villarinho,BRA,Active,
Alessio Sartoretto,ITA,Active,
Niccolo Ricciardi,ITA,Active,
Burhanettin Hacisagir,TUR,Active,
Tiziano Tripodi,ITA,Active,
Daniele Titta,ITA,Active,
Yori Lecomte,FRA,Active,
Oleksandr Oleksyshyn,UKR,Active,
Vincenzo Del Vecchio,ITA,Active,
Tommaso Griffante,ITA,Active,
Alessandro Gadani,ITA,Active,
Clement Mathieu,FRA,Active,
Atakan Ercan,TUR,Active,
Federico Marchi,ITA,Active,
Poyraz San Askin,TUR,Active,
Simon Barbieux,FRA,Active,
Andrea Zoppi,ITA,Active,
Ahmet Efe Soker,TUR,Active,
Alessandro Addis,ITA,Active,
Andrea Zanini,ITA,Active,
Ahmet Ege Guldag,TUR,Active,
Romaine Pourcel,FRA,Active,
Eliot Garoux,FRA,Active,
Giovanni Oriente,ITA,Active,
Rossi Rodolfo Marchetti,ITA,Active,
Giacomo Brogelli,ITA,Active,
Muhammed Yusuf Ozden,TUR,Active,
Danylo Chobanian,UKR,Active,
Gabriele Catalano,ITA,Active,
Dovukan Ulac,TUR,Active,
Cagatay Alper Ustununal,TUR,Active,
Lucas Falla,FRA,Active,
Giovanni Filippini,ITA,Active,
Eugenio Albini Riccioli,ITA,Active,
Maksym Klys,UKR,Active,
Kimani Bellanger,FRA,Active,
Niccol Lucchi,ITA,Active,
Guillermo Vittorio Bertola,ARG,Active,
Victor Hugo Ribeiro Colonese,BRA,Active,
David Farinango Berru,ECU,Active,
Jon Mckay,CAN,Active,
Ondrej Zach,CZE,Active,
Marek Matousek,CZE,Active,
Spyridon Andreadis,GRE,Active,
Denis Borovka,CZE,Active,
Joey Tepper,USA,Active,
Luiz Felipe Loureiro,BRA,Active,
Diego Vera Delgado,VEN,Active,
Mykhailo Romanchuk,UKR,Active,
Kyle Lee,AUS,Active,
Juan Manuel Morales,COL,Active,
Kaiki Furuhata,JPN,Active,
Gabriel Arteiro,BRA,Active,
Connor Buck,RSA,Active,
Ruan Breytenbach,RSA,Active,
Juan Alcivar,ECU,Active,
Alexander Axon,CAN,Active,
Pei-Chi Cho,TPE,Active,
Artyom Lukasevits,SGP,Active,
Jeison Rojas,CRC,Active,
Minseok Kim,KOR,Active,
Colin Babbitt,ECU,Active,
Changmin Lee,KOR,Active,
Anton-Theo Girlin,EST,Active,
Suabsakul Kumton,THA,Active,
Yongjin Choi,KOR,Active,
Anurag Singh,IND,Active,
Jahir Lopez,ECU,Active,
Paulo Strehlke Delgado,MEX,Active,
Joaquin Devoto,PER,Active,
Jamarr Andre Bruno,PUR,Active,
Diego Andrez Ortiz,PUR,Active,
Jinhou Zhang,CHN,Active,
Reilly James Kennedy,AUS,Active,
Byron John Kimber,AUS,Active,
Kilian Carrel,AUS,Active,
Thomas Edward Raymond,AUS,Active,
Gael Marcel Khalil,LBN,Active,
